
Location:C:\Users\Fahim\git\EFBO-PROJECT\EFBO\Resources\Annotated-Sources\testing.java
Line:5	EVENT_START hasNextEvent _tapAppIcon
Line:6	EVENT_START hasTimePoint 1
Line:7	_function_1 hasInitialEvent _tapAppIcon
Line:8	_tapAppIcon hasNextEvent _launchAppInterface
Line:9	_launchAppInterface hasNextEvent _presentLoginUI
Line:10	_presentLoginUI hasNextEvent _enterUserName
Line:11	_presentLoginUI hasNextEvent _enterPassword
Line:12	_presentLoginUI hasNextEvent _tapLoginButton
Line:13	_presentLoginUI hasTimePoint 2
Line:14	_tapLoginButton hasNextEvent _verifyUserInfo
Line:15	_tapLoginButton isFinalEventOf _function_1
Line:16	_function_2 hasInitialEvent _verifyUserInfo
Line:17	_verifyUserInfo hasNextEvent _presentTryAgainUI
Line:18	_presentTryAgainUI hasNextEvent _presentLoginUI
Line:19	_verifyUserInfo hasNextEvent _welcomeTheUser
Line:20	_welcomeTheUser isAlternateEventOf _presentTryAgainUI
Line:21	_welcomeTheUser hasNextEvent EVENT_END
Line:22	_welcomeTheUser isFinalEventOf _function_2
Line:25	_tapAppIcon hasInterface _appIcon
Line:26	_launchAppInterface hasInterface _appInterface
Line:27	_presentLoginUI hasInterface _loginInterfaceUI
Line:28	_loginInterfaceUI isElementOf _appInterface
Line:29	_loginInterfaceUI hasElement _userNameField
Line:30	_userNameField isInterfaceOf _enterUserName
Line:31	_loginInterfaceUI hasElement _passwordField
Line:32	_passwordField isInterfaceOf _enterPassword
Line:33	_loginInterfaceUI hasElement _loginButton
Line:34	_loginButton isInterfaceOf _tapLoginButton
Line:38	_verifyUserInfo hasInterface _serverInterface
Line:39	_welcomeTheUser hasInterface _welcomeUserUI
Line:40	_welcomeUserUI isElementOf _appInterface
Line:41	_welcomeUserUI hasElement _welcomeLabel
Line:42	_presentTryAgainUI hasInterface _tryAgainUI
Line:43	_tryAgainUI isElementOf _appInterface
Line:44	_tryAgainUI hasElement _loginInterfaceUI
Line:47	_userAgent interactsWith _appIcon
Line:48	_clientAgent interactsWith _appInterface
Line:49	_clientAgent interactsWith _logininterfaceUI
Line:50	_userAgent interactsWith _userNameField
Line:51	_userAgent interactsWith _passwordField
Line:52	_userAgent interactsWith _loginButton
Line:53	_serverAgent interactsWith _serverInterface
Line:54	_clientAgent interactsWith _welcomeUserUI
Line:55	_clientAgent interactsWith _tryAgainUI
