
Location:C:\Users\Fahim\git\EFBO-PC\EFBO\Resources\Annotated-Sources\testing.java
Line:5	EVENT_START hasNextEvent _tapAppIcon
Line:6	EVENT_START hasTimePoint 1
Line:7	_function_1 hasInitialEvent _tapAppIcon
Line:8	_tapAppIcon hasNextEvent _launchAppInterface
Line:9	_launchAppInterface hasNextEvent _presentLoginUI
Line:10	_presentLoginUI hasNextEvent _enterUserName
Line:11	_presentLoginUI hasNextEvent _enterPassword
Line:12	_presentLoginUI hasNextEvent _tapLoginButton
Line:13	_tapLoginButton hasNextEvent _verifyUserInfo
Line:14	_tapLoginButton isFinalEventOf _function_1
Line:15	_function_2 hasInitialEvent _verifyUserInfo
Line:16	_verifyUserInfo hasNextEvent _presentTryAgainUI
Line:17	_presentTryAgainUI hasNextEvent _presentLoginUI
Line:18	_verifyUserInfo hasNextEvent _welcomeTheUser
Line:19	_welcomeTheUser isAlternateEventOf _presentTryAgainUI
Line:20	_welcomeTheUser hasTimePoint 2
Line:21	_presentTryAgainUI hasTimePoint 2
Line:22	_welcomeTheUser hasNextEvent EVENT_END
Line:23	_welcomeTheUser isFinalEventOf _function_2
Line:26	_tapAppIcon hasInterface _appIcon
Line:27	_launchAppInterface hasInterface _appInterface
Line:28	_presentLoginUI hasInterface _loginInterfaceUI
Line:29	_loginInterfaceUI isElementOf _appInterface
Line:30	_loginInterfaceUI hasElement _userNameField
Line:31	_userNameField isInterfaceOf _enterUserName
Line:32	_loginInterfaceUI hasElement _passwordField
Line:33	_passwordField isInterfaceOf _enterPassword
Line:34	_loginInterfaceUI hasElement _loginButton
Line:35	_loginButton isInterfaceOf _tapLoginButton
Line:39	_verifyUserInfo hasInterface _serverInterface
Line:40	_welcomeTheUser hasInterface _welcomeUserUI
Line:41	_welcomeUserUI isElementOf _appInterface
Line:42	_welcomeUserUI hasElement _welcomeLabel
Line:43	_presentTryAgainUI hasInterface _tryAgainUI
Line:44	_tryAgainUI isElementOf _appInterface
Line:45	_tryAgainUI hasElement _loginInterfaceUI
Line:48	_userAgent interactsWith _appIcon
Line:49	_clientAgent interactsWith _appInterface
Line:50	_clientAgent interactsWith _logininterfaceUI
Line:51	_userAgent interactsWith _userNameField
Line:52	_userAgent interactsWith _passwordField
Line:53	_userAgent interactsWith _loginButton
Line:54	_serverAgent interactsWith _serverInterface
Line:55	_clientAgent interactsWith _welcomeUserUI
Line:56	_clientAgent interactsWith _tryAgainUI
